"name","Path"
"SensrSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SensrSvc"""
"SessionEnv","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SessionEnv"""
"SgrmBroker","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SgrmBroker"""
"SharedAccess","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SharedAccess"""
"ShellHWDetection","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""ShellHWDetection"""
"shpamsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""shpamsvc"""
"smphost","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""smphost"""
"SNMPTRAP","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SNMPTRAP"""
"Spooler","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Spooler"""
"sppsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""sppsvc"""
"SSDPSRV","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SSDPSRV"""
"ssh-agent","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""ssh-agent"""
"SstpSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SstpSvc"""
"StateRepository","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""StateRepository"""
"stisvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""stisvc"""
"StorSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""StorSvc"""
"svsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""svsvc"""
"swprv","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""swprv"""
"SysMain","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SysMain"""
"SystemEventsBroker","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SystemEventsBroker"""
"TabletInputService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""TabletInputService"""
"tapisrv","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""tapisrv"""
"TermService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_TerminalService.Name=""TermService"""
"Themes","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Themes"""
"TieringEngineService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""TieringEngineService"""
"TimeBrokerSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""TimeBrokerSvc"""
"TokenBroker","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""TokenBroker"""
"TrkWks","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""TrkWks"""
"TrustedInstaller","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""TrustedInstaller"""
"tzautoupdate","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""tzautoupdate"""
"UALSVC","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""UALSVC"""
"UevAgentService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""UevAgentService"""
"UmRdpService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""UmRdpService"""
"upnphost","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""upnphost"""
"UserManager","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""UserManager"""
"UsoSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""UsoSvc"""
"VaultSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""VaultSvc"""
"vds","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""vds"""
"VGAuthService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""VGAuthService"""
"vmicguestinterface","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""vmicguestinterface"""
"vmicheartbeat","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""vmicheartbeat"""
"vmickvpexchange","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""vmickvpexchange"""
"vmicrdv","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""vmicrdv"""
"vmicshutdown","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""vmicshutdown"""
"vmictimesync","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""vmictimesync"""
"vmicvmsession","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""vmicvmsession"""
"vmicvss","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""vmicvss"""
"VMTools","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""VMTools"""
"vmvss","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""vmvss"""
"VSS","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""VSS"""
"W32Time","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""W32Time"""
"WaaSMedicSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WaaSMedicSvc"""
"WalletService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WalletService"""
"WarpJITSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WarpJITSvc"""
"WbioSrvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WbioSrvc"""
"Wcmsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Wcmsvc"""
"WdiServiceHost","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WdiServiceHost"""
"WdiSystemHost","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WdiSystemHost"""
"WdNisSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WdNisSvc"""
"Wecsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Wecsvc"""
"WEPHOSTSVC","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WEPHOSTSVC"""
"wercplsupport","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""wercplsupport"""
"WerSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WerSvc"""
"WiaRpc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WiaRpc"""
"WinDefend","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WinDefend"""
"WinHttpAutoProxySvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WinHttpAutoProxySvc"""
"Winmgmt","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Winmgmt"""
"WinRM","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WinRM"""
"wisvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""wisvc"""
"wlidsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""wlidsvc"""
"wmiApSrv","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""wmiApSrv"""
"WMPNetworkSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WMPNetworkSvc"""
"WPDBusEnum","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WPDBusEnum"""
"WpnService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WpnService"""
"WSearch","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WSearch"""
"wuauserv","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""wuauserv"""
"CaptureService_3283c","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""CaptureService_3283c"""
"cbdhsvc_3283c","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""cbdhsvc_3283c"""
"CDPUserSvc_3283c","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""CDPUserSvc_3283c"""
"ConsentUxUserSvc_3283c","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""ConsentUxUserSvc_3283c"""
"DevicePickerUserSvc_3283c","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DevicePickerUserSvc_3283c"""
"DevicesFlowUserSvc_3283c","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""DevicesFlowUserSvc_3283c"""
"PimIndexMaintenanceSvc_3283c","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""PimIndexMaintenanceSvc_3283c"""
"PrintWorkflowUserSvc_3283c","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""PrintWorkflowUserSvc_3283c"""
"UnistoreSvc_3283c","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""UnistoreSvc_3283c"""
"UserDataSvc_3283c","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""UserDataSvc_3283c"""
"WpnUserService_3283c","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""WpnUserService_3283c"""
